央视,#genre#
江苏城市频道,http://175.11.72.143:40803/626064714
江苏国际,http://175.11.72.143:40803/626064674
江苏教育,http://175.11.72.143:40803/628008321
江苏影视频道,http://175.11.72.143:40803/626064697
江苏综艺频道,http://175.11.72.143:40803/626065193
公共新闻频道,http://175.11.72.143:40803/626064693
盐城新闻综合,http://175.11.72.143:40803/639731825
淮安新闻综合,http://175.11.72.143:40803/639731826
泰州新闻综合,http://175.11.72.143:40803/639731818
连云港新闻综合,http://175.11.72.143:40803/639731715
宿迁新闻综合,http://175.11.72.143:40803/639731832
徐州新闻综合,http://175.11.72.143:40803/639731747
优漫卡通频道,http://175.11.72.143:40803/626064703
江阴新闻综合,http://175.11.72.143:40803/955227979
南通新闻综合,http://175.11.72.143:40803/955227985
宜兴新闻综合,http://175.11.72.143:40803/955227996
溧水新闻综合,http://175.11.72.143:40803/639737327
陕西银龄频道,http://175.11.72.143:40803/956909362
陕西都市青春频道,http://175.11.72.143:40803/956909358
陕西体育休闲频道,http://175.11.72.143:40803/956909356
陕西秦腔频道,http://175.11.72.143:40803/956909303
陕西新闻资讯频道,http://175.11.72.143:40803/956909289
财富天下,http://175.11.72.143:40803/956923159
镇江新闻综合,http://175.11.72.143:40803/639731783
海南广播电视总台新闻频道,http://175.11.72.143:40803/962067517
海南广播电视总台自贸频道,http://175.11.72.143:40803/962045226
海南广播电视总台社会与法频道,http://175.11.72.143:40803/962045223
海南广播电视总台文旅频道,http://175.11.72.143:40803/962067526
海南广播电视总台少儿频道,http://175.11.72.143:40803/962067523
广东珠江频道,http://175.11.72.143:40803/639731952
影视,#genre#

CCTV1综合,http://175.11.72.143:40803/608807420
CCTV6电影,http://175.11.72.143:40803/624878396
CCTV8电视剧,http://175.11.72.143:40803/624878356
东方卫视,http://175.11.72.143:40803/651632648
江苏卫视,http://175.11.72.143:40803/623899368
建党105周年巡礼,http://175.11.72.143:40803/713600957
经典香港电影,http://175.11.72.143:40803/625703337
新片放映厅,http://175.11.72.143:40803/619495952
CHC影迷电影,http://175.11.72.143:40803/952383261
CHC动作电影,http://175.11.72.143:40803/644368714
CHC家庭影院,http://175.11.72.143:40803/644368373
和美乡途轮播台,http://175.11.72.143:40803/713591450
南方影视,http://175.11.72.143:40803/614961829
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
千禧经典,https://o11.163189.xyz/stream/live/tvbc/
天映频道,https://o11.163189.xyz/stream/live/typd/
ASTRO爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
HBO喜剧,http://23.237.104.106:8080/USA_HBO_COMEDY/tracks-v1a1/mono.m3u8
HBO,http://23.237.104.106:8080/USA_HBO/tracks-v1a1/mono.m3u8
LMN,http://23.237.104.106:8080/USA_LMN/tracks-v1a1/mono.m3u8
HBO精选,http://23.237.104.106:8080/USA_HBO2/tracks-v1a1/mono.m3u8
Cinemax精选,http://23.237.104.106:8080/USA_MOREMAX/mono.m3u8
Cinemax,http://23.237.104.106:8080/USA_CINEMAX/tracks-v1a1/mono.m3u8
HBO王牌,http://23.237.104.106:8080/USA_HBO_ZONE/tracks-v1a1/mono.m3u8
新闻,#genre#

CCTV1综合,http://175.11.72.143:40803/608807420
CCTV2财经,http://175.11.72.143:40803/631780532
CCTV4中文国际,http://175.11.72.143:40803/631780421
CCTV13新闻,http://175.11.72.143:40803/608807423
经典香港电影,http://175.11.72.143:40803/625703337
CGTN法语,http://175.11.72.143:40803/609006476
CGTN俄语,http://175.11.72.143:40803/609006446
CGTN阿拉伯语,http://175.11.72.143:40803/609154345
CGTN西班牙语,http://175.11.72.143:40803/609006450
中国天气,http://175.11.72.143:40803/959986621
公共新闻频道,http://175.11.72.143:40803/626064693
淮安新闻综合,http://175.11.72.143:40803/639731826
宿迁新闻综合,http://175.11.72.143:40803/639731832
徐州新闻综合,http://175.11.72.143:40803/639731747
盐城新闻综合,http://175.11.72.143:40803/639731825
江阴新闻综合,http://175.11.72.143:40803/955227979
南通新闻综合,http://175.11.72.143:40803/955227985
宜兴新闻综合,http://175.11.72.143:40803/955227996
溧水新闻综合,http://175.11.72.143:40803/639737327
陕西新闻资讯频道,http://175.11.72.143:40803/956909289
镇江新闻综合,http://175.11.72.143:40803/639731783
海南广播电视总台新闻频道,http://175.11.72.143:40803/962067517
Reuters,https://dbrb49pjoymg4.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/e7493ea5-5c1c-4d7a-a3f7-e95516048ad8/3.m3u8
Sky News,https://d39chvnxm26pgp.cloudfront.net/v1/master/72588bff830dec7b26d7cbbf5f3c24928aec5c03/cc-sthen6ms4vxgv-stage/WNSFO/ABR.m3u8
NHK World,https://masterpl.hls.nhkworld.jp/hls/w/live/smarttv.m3u8
France24,https://live.france24.com/hls/live/2037218-b/F24_EN_HI_HLS/master_5000.m3u8
教育,#genre#

CETV1,http://175.11.72.143:40803/923287154
CETV2,http://175.11.72.143:40803/923287211
CETV4,http://175.11.72.143:40803/923287339
江苏教育,http://175.11.72.143:40803/628008321
山东教育,http://175.11.72.143:40803/609154353

熊猫,#genre#
熊猫频道01高清,http://175.11.72.143:40803/609158151
熊猫频道1,http://175.11.72.143:40803/608933610
熊猫频道2,http://175.11.72.143:40803/608933640
熊猫频道3,http://175.11.72.143:40803/608934619
熊猫频道4,http://175.11.72.143:40803/608934721
熊猫频道5,http://175.11.72.143:40803/608935104
熊猫频道6,http://175.11.72.143:40803/608935797
熊猫频道7,http://175.11.72.143:40803/609169286
熊猫频道8,http://175.11.72.143:40803/609169287
熊猫频道9,http://175.11.72.143:40803/609169226
熊猫频道10,http://175.11.72.143:40803/609169285

综艺,#genre#
CCTV3综艺,http://175.11.72.143:40803/624878271
CCTV11戏曲,http://175.11.72.143:40803/667987558
CCTV15音乐,http://175.11.72.143:40803/673168223
最强综艺趴,http://175.11.72.143:40803/629942228
江苏综艺频道,http://175.11.72.143:40803/626065193
河北卫视,http://175.11.72.143:40803/962042070
苏州娱乐,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
南宁娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
云南娱乐,https://hwapi.yntv.net/62hdvf/q9vs1b.m3u8
梨园频道,https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=10c771842a0be59e8b575d765173ec96&txTime=7B923E0A&wsSecret=1966aa8a0405e1541cff782f56c75447&wsTime=1770400669
河南曲艺,https://dxtx.hntv.tv/live/jczy.m3u8?txSecret=e785008e49564e5e738439b4dd2ae68e&txTime=7C4C6207&wsSecret=3f9e1d6e5c78cea99a876ce40f13202b&wsTime=1770400669

少儿,#genre#
CCTV14少儿,http://175.11.72.143:40803/624878440
嘉佳卡通,http://175.11.72.143:40803/614952364
优漫卡通频道,http://175.11.72.143:40803/626064703
经典动画大集合,http://175.11.72.143:40803/629942219
中学生,http://175.11.72.143:40803/708869532
江苏教育,http://175.11.72.143:40803/628008321
新动漫,http://175.11.72.143:40803/961930269
海南广播电视总台少儿频道,http://175.11.72.143:40803/962067523
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8

纪实,#genre#
新动力量创一流,http://175.11.72.143:40803/713589837
CCTV9纪录,http://175.11.72.143:40803/673168140
CGTN外语纪录,http://175.11.72.143:40803/609006487
CCTV10科教,http://175.11.72.143:40803/624878405
南京教科频道,http://175.11.72.143:40803/838153729
CCTV1综合,http://175.11.72.143:40803/608807420
CCTV2财经,http://175.11.72.143:40803/631780532
CCTV4中文国际,http://175.11.72.143:40803/631780421
CCTV7国防军事,http://175.11.72.143:40803/673168121
中华特产,http://175.11.72.143:40803/959986618
环球旅游,http://175.11.72.143:40803/958475356
梨园频道,http://175.11.72.143:40803/961930369
海南广播电视总台社会与法频道,http://175.11.72.143:40803/962045223
海南广播电视总台文旅频道,http://175.11.72.143:40803/962067526
文物宝库,https://dxtx.hntv.tv/live/wwbk.m3u8?txSecret=317b89626134fd6bea6e129455b5ff18&txTime=7C4C635C&wsSecret=87c5daf4f4c3a09fb4e4cce0843d4a1c&wsTime=1770400669
WildEarth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
National Geographic,http://23.237.104.106:8080/USA_NAT_GEO/index.m3u8
Love Nature 4K,https://pb-ehs1glsha1juy.akamaized.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ehs1glsha1juy/f2141f37-1f48-475b-ba54-b9efb62346db/0.m3u8

亚太,#genre#
Astro AOD,https://o11.163189.xyz/stream/live/aod/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
